nace4,freq
4765,207
5224,207
4637,205
8552,205
4291,204
2893,203
4633,197
6120,197
7729,194
4612,193
7740,189
3314,188
3530,188
4743,186
4781,183
1419,178
2042,177
3700,173
5621,170
322,167
1399,166
149,166
1412,165
6612,161
8541,161
2221,160
2620,158
2740,157
3212,157
2219,156
2712,156
8730,154
1520,153
1073,151
130,151
4331,151
3240,147
4663,146
119,144
5913,143
8899,143
2830,141
4212,140
4666,140
8531,139
9521,137
9312,136
4648,131
8220,131
2312,129
8425,129
3514,128
1012,127
170,127
3900,127
3230,124
2363,123
9321,120
1512,118
8510,118
1061,116
8030,116
5530,115
125,114
2369,112
2711,112
1091,110
163,110
2920,109
9102,107
7733,106
1105,104
1072,103
1814,103
2521,102
1330,100
2670,99
9512,99
9524,94
4931,93
1051,92
1723,92
1820,91
145,89
2341,89
8810,89
1729,86
5030,86
6630,86
2059,84
9004,84
1032,83
2550,83
1414,81
143,81
2849,80
2910,80
5813,80
2529,78
3313,78
5821,78
2453,77
5223,77
129,75
2399,75
5222,75
2660,74
9525,74
2120,73
2593,73
4942,72
1013,71
2041,71
2841,71
2612,70
2813,70
2812,68
7731,67
5110,66
811,61
3319,59
9523,59
2014,58
2821,58
1041,57
2892,57
312,57
2931,56
3012,56
3213,56
9103,56
1052,54
2815,54
1084,53
3822,53
4723,53
2319,52
3220,52
9101,52
1085,51
6491,51
910,51
2349,50
2640,50
3523,50
7734,50
2030,49
8412,49
1083,48
1092,48
1439,48
2110,48
3831,48
4665,48
2572,47
3311,47
4664,47
2020,46
5914,46
2016,45
2594,45
128,44
2732,44
3030,44
6419,44
7722,44
3812,43
1621,42
9412,42
1411,41
1395,40
2013,40
2811,40
8413,40
1391,39
1722,39
3020,39
2433,38
1396,37
4313,37
3315,35
4920,35
3092,34
3316,34
3011,33
3513,33
1086,32
2751,32
8710,31
9104,31
1431,30
2211,30
2332,30
2591,30
2530,29
3317,29
5040,29
6512,29
7735,29
990,29
2320,27
2410,27
3291,27
4763,26
1310,25
1712,25
2015,24
2313,24
610,24
2454,23
2752,23
3103,23
899,23
2814,22
2823,22
4624,22
5121,22
1320,21
2894,21
2352,20
6511,20
2720,19
1393,18
1622,18
1811,18
2053,18
2331,18
2733,18
8790,18
115,17
2362,17
2540,17
2652,17
3099,17
3521,17
1103,16
1511,16
2344,16
2442,16
4635,16
5310,16
2451,15
230,14
2592,14
2896,14
3091,14
6130,14
1420,13
2391,13
5812,13
1031,12
2364,12
2441,12
2452,12
2824,12
2895,12
2311,11
2420,11
3522,11
5190,11
520,11
9411,11
1104,10
1394,10
164,10
2011,10
4950,10
620,10
892,10
1062,9
1920,9
1020,8
1200,8
5020,8
8411,8
8720,8
1081,7
2012,7
2351,7
2571,7
4510,7
5010,7
5120,7
5140,7
7412,7
112,6
2432,6
3512,6
729,6
7310,6
