nace4,freq
7022,17418
6820,16436
6810,15212
6920,14497
4120,12946
5610,11736
7112,11530
4511,8112
4941,8082
8621,6040
6201,5735
4711,5691
4321,4868
4520,4706
4322,4566
8559,4553
6202,4238
4690,4021
4791,3830
7490,3794
8299,3738
111,3728
4771,3665
7311,3455
8622,3425
4110,3181
4778,3000
6622,2959
8623,2844
5630,2842
6420,2837
6209,2821
4752,2787
4719,2773
6831,2730
8690,2649
6832,2614
7111,2425
2562,2414
4399,2334
5911,2258
4673,2250
2511,2243
9602,2218
4773,2215
8121,2140
7219,2017
4799,1995
6619,1942
5510,1922
4329,1881
8230,1845
9001,1795
3511,1763
4334,1760
5229,1754
4642,1695
6311,1626
8010,1571
4726,1521
7120,1456
3312,1455
4391,1450
4619,1449
4741,1423
9319,1422
4211,1395
4532,1387
9604,1383
4669,1353
4332,1334
4759,1324
8130,1300
161,1284
7430,1279
4776,1271
4618,1255
1071,1240
4621,1203
4631,1199
4519,1196
8211,1161
1812,1152
4312,1144
4674,1137
5629,1135
3109,1099
4939,1084
4649,1024
210,1020
5520,1008
7021,994
8110,985
1813,984
9329,984
5811,970
4729,960
4221,958
6312,956
9003,948
4721,943
1623,940
5590,914
7739,901
4333,899
4531,891
8610,882
7320,875
5829,868
4646,863
4779,860
7711,859
3250,847
7912,842
4675,835
4722,834
9511,830
7410,827
4762,825
4724,808
1413,792
9002,780
4730,761
3320,748
5210,746
8020,746
4638,744
7500,742
1102,728
9609,727
7010,715
7220,704
7420,697
5814,677
2229,676
4774,674
6203,664
8532,664
4339,660
7312,654
147,647
5320,642
8551,628
4643,625
4742,619
4641,609
4772,599
4764,590
4611,567
1610,559
4651,555
9313,554
6629,549
4751,546
4222,544
4645,541
4299,540
4777,535
4725,531
4634,516
8553,514
4639,499
8129,498
9499,498
4775,496
4311,492
4632,488
6391,488
240,485
4652,485
7810,485
113,480
9311,477
220,473
7820,467
4613,457
1039,450
4932,450
9200,450
4754,443
4789,434
4614,433
4617,425
3811,418
5221,415
2899,410
2561,408
7732,405
6399,394
4616,392
9603,390
2223,385
4623,385
6910,384
2573,374
6499,372
2370,371
8891,371
3102,369
6110,369
2829,367
146,363
4782,362
1101,358
8560,358
4677,357
8292,357
4761,352
7911,347
1629,344
124,343
.,341
1011,336
7211,334
2222,332
4676,332
3101,331
4661,331
4662,329
8122,324
121,323
2651,320
150,315
4647,314
4540,311
7830,307
3832,305
142,301
7990,299
1392,293
3299,287
4636,287
5920,287
2512,284
9601,284
1082,283
1107,281
4672,280
5819,279
4644,277
4671,276
6492,275
9529,274
162,271
9522,271
4622,267
1089,262
7712,261
812,260
7721,259
2599,258
2630,258
2825,253
4615,252
2822,247
6020,246
2611,245
8520,245
2361,244
8542,243
141,242
1624,236
2790,235
6190,232
3600,229
5912,226
8219,226
6010,222
1721,221
6621,221
2932,219
8291,217
4213,216
4753,214
3821,207
