var,N,rho
age,58665,0.9995145630165173
tanass_clean,52740,0.9713011413906673
sales_clean,54214,0.9826679993921515
pretax,58111,0.6383359345248101
persexp_clean,51102,0.9857997420553869
satok,57888,0.610591773746411
export,58665,0.972458316237771
ereduzem,58590,0.7730568489451172
grant_value,527,0.3529337539136479
