term,estimate,std.error,statistic,p.value
(Intercept),-1662.2198462787042,1020.750576986119,-1.6284290048471934,0.10343472027263219
age,352.26012384834036,66.71782386202923,5.279850322708446,1.2935509935884323e-7
tanass_clean,8.92582086930102e-4,5.770034659337968e-5,15.469267337685515,5.794481441348475e-54
sales_clean,0.03401500604506657,1.9195507750406924e-4,177.2029502285267,0
pretax,0.07339399869030551,4.2643621606713937e-4,172.11014431933273,0
persexp_clean,0.07079265511630448,0.0013703781389297902,51.65921223144341,0
satok,0.0023646886745455815,5.539795986583342e-5,42.685483008265045,0
export,-0.00732437909976266,2.064082140638974e-4,-35.48492066064418,2.208197993987545e-275
