var,mean_overall,sd_overall,sd_between,sd_within
age,10.651424592351884,8.61053465010488,7.380828674604085,3.7289746676430338
tanass_clean,260094.45469522238,1918811.6635123757,1264377.9242162486,972872.4290136526
sales_clean,841593.4067601509,5630009.502822578,3260713.410491506,2478407.5430426085
pretax,26077.570380388726,423447.666523638,231845.24238718458,289473.9303374966
persexp_clean,85338.9465204963,443605.3362824879,270675.8934315552,170056.09634916225
satok,230808.13962437634,1864517.3018254559,1036476.3972471986,1294873.3312568404
export,275577.4662856148,3194103.333531181,1681326.2418669893,1697105.902972618
ereduzem,31088.996328726138,432262.74447777314,217137.66533541935,271019.6238672269
grant_value,108384584.03229572,347137911.4627634,360272179.5165963,194268055.00471854
