term,estimate,std.error,statistic,p.value
(Intercept),76392727.27478902,14421467.579137377,5.297153487021081,1.2114240607071286e-7
age,-1807024.5089744956,769258.9116326263,-2.3490459215342483,0.01884874860142618
tanass_clean,1.0132148009661002,0.11314913208091862,8.95468469207081,4.2859819349660253e-19
sales_clean,-1.7022911646688883,5.744044860246488,-0.29635756789612533,0.7669656640416309
pretax,-17.227307346120178,207.3079061257426,-0.08310009814903517,0.9337742822224009
persexp_clean,286.8019498275973,38.10702499067825,7.526222524528086,5.864835975674084e-14
satok,5.069594594230936,8.405551058341846,0.6031245969530771,0.5464450017934455
export,-2.772928721129189,18.767709190735538,-0.14774998338625223,0.8825442641946193
ereduzem,-44.748014079284324,231.47802091360012,-0.19331431080442257,0.84671832955448
emp,-1606066.2561282814,215472.5013090153,-7.453694770197036,1.0147733883475298e-13
