term,estimate,std.error,statistic,p.value
(Intercept),-2358.3094967862444,7970.592077741891,-0.29587632559592303,0.767324681194085
age,-6970.5594537567285,518.7823392561409,-13.436385409247945,3.7758024081465e-41
tanass_clean,0.015371929944442529,4.496035133845762e-4,34.189968465157165,7.83541918509822e-256
sales_clean,0.7746363063147661,8.673792405328863e-4,893.0768343485574,0
pretax,-0.12735929611892816,0.003282155281241774,-38.80355595812728,0
persexp_clean,-1.2991892965185077,0.010130936308364263,-128.23980498681806,0
satok,0.027844009574918654,4.254271432525627e-4,65.44953705125614,0
