nace3,freq
702,18414
682,16437
681,15212
692,14497
711,13955
620,13468
477,13315
412,12946
862,12309
561,11736
432,11315
451,9315
471,8465
494,8154
464,6079
855,5900
479,5825
472,5650
467,5467
461,5423
683,5344
475,5314
960,5002
433,4804
452,4708
829,4313
463,4151
731,4115
469,4021
749,3800
439,3784
662,3729
111,3728
900,3607
812,3222
411,3181
563,2842
642,2837
256,2822
591,2673
869,2649
931,2589
631,2582
522,2532
251,2528
466,2394
721,2353
453,2279
181,2257
474,2230
661,2107
581,2019
476,2000
351,1930
331,1925
551,1924
462,1877
162,1851
823,1845
161,1843
310,1822
421,1751
431,1673
493,1627
801,1571
773,1558
222,1554
422,1502
110,1501
141,1499
107,1494
712,1456
821,1388
562,1305
813,1300
743,1279
791,1189
771,1120
932,1104
811,1046
465,1040
210,1020
552,1015
478,979
282,959
582,946
951,929
559,914
952,909
639,882
861,882
732,875
325,847
741,838
853,803
473,761
521,757
332,748
802,746
429,744
750,742
108,736
289,720
701,717
722,707
742,705
649,698
147,647
532,642
139,603
103,546
101,534
889,514
236,511
772,498
949,498
240,485
781,485
113,480
220,473
782,467
381,461
920,450
172,442
257,428
259,420
854,404
691,384
237,371
611,369
146,363
856,358
383,353
124,343
.,341
265,337
121,323
142,315
150,315
261,315
329,314
454,311
783,307
799,299
910,297
592,287
293,275
271,268
382,260
263,258
281,254
204,248
852,247
602,246
279,235
619,232
360,229
601,222
322,220
231,217
321,217
612,197
774,189
353,188
201,187
221,186
252,184
370,173
149,166
234,163
143,159
109,158
262,158
274,157
873,154
152,153
130,151
284,151
324,147
105,146
119,144
283,141
842,137
151,134
822,131
170,127
245,127
390,127
106,125
323,124
851,121
803,116
553,115
125,114
205,111
292,111
163,110
133,100
267,99
841,97
182,91
145,89
301,89
881,89
239,88
503,87
663,86
255,83
291,80
352,78
129,75
266,74
212,73
511,67
309,65
273,63
104,57
312,57
275,55
941,53
264,50
203,49
651,49
211,48
233,48
202,47
243,47
128,44
303,44
641,44
302,39
244,38
492,35
871,31
990,30
171,29
253,29
504,29
512,29
232,27
235,27
241,27
131,25
610,25
899,23
132,21
272,19
879,18
115,17
254,17
531,16
230,14
613,14
242,12
502,12
519,11
520,11
524,11
164,10
495,10
892,10
120,9
192,9
102,8
872,8
501,7
514,7
112,6
633,6
729,6
748,6
