var,k,N,adjR2
age,0,414918,NA
tanass_clean,1,414721,1.2054723150956015e-4
sales_clean,2,414069,0.030125286626301984
pretax,3,414069,0.05812773509978075
persexp_clean,4,411970,0.49736887632126425
satok,5,410316,0.19270494211261002
export,6,410316,0.7685195551471643
ereduzem,7,409830,0.38495648402161453
emp,8,363222,0.8905537195702569
