varname,ln_sales_clean,ln_emp,ln_eszk,ln_tanass_clean,ln_persexp_clean
ln_sales_clean,1,0.6629071898061609,0.5237375004167123,0.5304876579097385,0.7225734750962234
ln_emp,0.6629071898061609,1,0.41560551150833713,0.37322564808535436,0.6875959569197964
ln_eszk,0.5237375004167123,0.41560551150833713,1,0.5833029332352211,0.42978730297190443
ln_tanass_clean,0.5304876579097385,0.37322564808535436,0.5833029332352211,1,0.5427116797707571
ln_persexp_clean,0.7225734750962234,0.6875959569197964,0.42978730297190443,0.5427116797707571,1
