term,estimate,std.error,statistic,p.value,nace2
(Intercept),5.739684021941076,0.01040747151284573,551.4964912329283,0,ALL
ln_sales,-0.5275430100763989,0.0010354991137349015,-509.45771278704865,0,ALL
(Intercept),5.680793515348936,0.104677096734998,54.269689287719856,0,10
ln_sales,-0.4523730263592338,0.009282193449719228,-48.73557406551545,0,10
(Intercept),5.405997581511701,0.07682015837892824,70.37212231255391,0,11
ln_sales,-0.4380685482930864,0.0071493617012207515,-61.27379850124051,0,11
(Intercept),5.163234876289014,0.18436924230287272,28.004860310740476,2.4510709432628008e-114,12
ln_sales,-0.4763743481584447,0.019194098021260146,-24.818793132701185,1.48357413971778e-96,12
(Intercept),3.9457938610463223,0.22662796967861096,17.410886514325618,1.8369777835800342e-56,13
ln_sales,-0.35259789545914777,0.021628432464777022,-16.302517347633536,1.0307818248330456e-50,13
(Intercept),4.869557529675663,0.11880285485799955,40.98855650814163,8.017325686490448e-278,14
ln_sales,-0.41147199218696795,0.01108488418369218,-37.12009844832803,5.849208365983275e-238,14
(Intercept),4.66200480070175,0.254433518212693,18.323076430537583,1.8438355228574503e-56,15
ln_sales,-0.3914509106726278,0.023538463867499415,-16.630265801377174,8.86580581425041e-49,15
(Intercept),5.640001324994477,0.10387997265022861,54.29344252895378,0,16
ln_sales,-0.4901274136056082,0.010123523442797433,-48.41470624087094,0,16
(Intercept),4.676798337042965,0.2582254793692877,18.11129695050226,1.51044530572238e-55,17
ln_sales,-0.37819835949408315,0.023301511295312022,-16.230636489667177,4.990843413321829e-47,17
(Intercept),4.496622632036474,0.1353311279558476,33.22681706682825,1.1472653572740443e-186,18
ln_sales,-0.41877640145177214,0.013591585103758729,-30.811446807330828,9.24265128230084e-166,18
(Intercept),1.8302074010088305,0.3657063098203173,5.004582507499166,0.004088645872263159,19
ln_sales,-0.04807385182002849,0.02324490135421928,-2.0681460887895917,0.09345971039398072,19
(Intercept),4.853634963113967,0.25651914413947585,18.921141263729325,7.9072529286328e-61,20
ln_sales,-0.3663936832353908,0.02268243481524575,-16.15319017644099,1.139221621455448e-47,20
(Intercept),5.75642151229736,0.1763282607550661,32.64605167457237,6.467855628523855e-147,21
ln_sales,-0.5263473236840092,0.018624776425814924,-28.260598229488757,9.549588463229519e-121,21
(Intercept),4.389325696191574,0.142331574978654,30.838734812355288,1.6726100461350521e-167,22
ln_sales,-0.3467864846835224,0.012625003677095282,-27.468228410315195,1.1753477049876029e-138,22
