term,estimate,std.error,statistic,p.value,model
(Intercept),5.643718575078922,0.011349993630480063,497.24420636879364,0,G2
ln_sales,-0.585323669004428,0.0012618895814514354,-463.84697806220424,0,G2
ln_emp,0.6710210079186619,0.002992355705019205,224.24506778827464,0,G2
