r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,nace2
0.17394093877069516,0.17392963042171616,694546.8742353487,15381.638742605495,0,5,-5431232.633333406,10862479.266666813,10862554.925008954,176191528658787970,365243,365249,ALL
0.4949391151855882,0.4941950655615245,252592.71874364305,665.1963782771059,0,5,-47115.802817735326,94245.60563547065,94288.52635044488,216547658822463.75,3394,3400,10
0.7847334023364884,0.7845180065013238,81882.9055348542,3643.2153005037326,0,5,-63695.114439972036,127404.22887994407,127449.85343102449,33503936663492.793,4997,5003,11
0.9790650617776949,0.9789364687910714,41753.509058255404,7613.6738673336495,0,5,-9884.940364141174,19783.880728282347,19816.845858664154,1419091392203.7422,814,820,12
0.12658186639249505,0.12137054101297529,45143.461096431485,24.28976453666782,7.046014218516376e-23,5,-10240.228417197093,20494.456834394186,20527.623901856357,1707787082843.089,838,844,13
0.4297065071377353,0.4287188149090164,161442.51388274616,435.06114014394274,0,5,-38794.56551100336,77603.13102200672,77644.92136714156,75245859428709.84,2887,2893,14
0.9227134676039224,0.9219631129204653,105199.0089562765,1229.7030830176989,1.3496757016359e-283,5,-6760.889939214761,13535.779878429523,13565.570128721796,5699418214972.113,515,521,15
0.850991103382023,0.8507783551001584,63166.41759436001,3999.9904860503552,0,5,-43750.41028162264,87514.82056324527,87557.96017271972,13972967083591.168,3502,3508,16
0.9660324804617683,0.965713835813192,140028.21301532173,3031.69215230207,0,5,-7148.72501717364,14311.45003434728,14341.478043343643,10451010934660.883,533,539,17
0.3643079723852361,0.3628671472999805,39212.2792323677,252.8467723898716,5.8261111802196785e-214,5,-26531.448391421767,53076.896782843534,53116.80834938203,3391951870769.368,2206,2212,18
0.9999796363917541,0.9999541818814468,11492.66324154162,39284.96853104313,1.8141729222253091e-9,5,-103.10257299027359,220.20514598054717,222.32324163150548,528325233.5339278,4,10,19
0.7618906860780543,0.7597570900751696,1383193.8975651043,357.09229162780014,3.103550010513085e-171,5,-8772.1721332524,17558.3442665048,17588.689646265284,1067579749909830.2,558,564,20
0.9834253546126426,0.9833433830726458,587664.2938933363,11997.156020867411,0,5,-14949.789228132886,29913.578456265772,29948.05074303811,349148164862642.25,1011,1017,21
0.8396396046658219,0.839248290865592,385033.6401833701,2145.6938246816476,0,5,-29342.44599999539,58698.89199999078,58738.28821787929,303766102445283.8,2049,2055,22
0.16747883932064173,0.1644045366593443,690468.8284211181,54.47701731811882,1.1796711247128724e-51,5,-20212.121273943474,40438.24254788695,40474.74922773806,645515712890747.4,1354,1360,23
0.986509769298024,0.9864096934026088,309735.1975468429,9857.616214220428,0,5,-9559.42653568538,19132.85307137076,19164.50772095795,64660791611983.336,674,680,24
0.660343088887129,0.6600636738565986,142860.49055682294,2363.3055374057894,0,5,-80844.6120137196,161703.2240274392,161750.21795101286,124046629914263.22,6078,6084,25
0.8189171391642381,0.8181543638447952,627634.5698693868,1073.602040194828,0,5,-17615.99416421511,35245.98832843022,35281.57791338491,467589156961319.56,1187,1193,26
0.3862759313531262,0.38207234184184624,922919.2250536428,91.89192482200966,5.192817623940094e-75,5,-11150.505054492527,22315.010108985054,22347.218719816155,621799324060740,730,736,27
0.849191997454014,0.8488277269164632,554964.066433973,2331.2124092271456,0,5,-30401.25539929414,60816.51079858828,60855.97818629828,637529188118167.75,2070,2076,28
0.733204700725876,0.73010962764845,3601997.1246154574,236.89414833966816,3.3161211385932477e-121,5,-7214.443919385436,14442.887838770872,14471.44737113654,5591959196153088,431,437,29
0.9746451054727518,0.9740143867034173,100977.189299411,1545.2926928131485,3.0151616147259324e-158,5,-2675.8644730661003,5365.728946132201,5389.057977685058,2049474944520.6255,201,207,30
0.8019610257568558,0.8013980951876598,28707.751168582083,1424.618007336648,0,5,-20619.00950846047,41252.01901692094,41290.35035870651,1449653424819.5605,1759,1765,31
0.8841543463335942,0.8838169973130164,136641.39672487424,2620.8890270952197,0,5,-22816.499399951506,45646.99879990301,45685.161555558705,32057886020253.33,1717,1723,32
0.9823882671183528,0.9823524272060987,140457.05900338013,27410.454025510156,0,5,-32684.936362815195,65383.87272563039,65424.536673417235,48472151586470.73,2457,2463,33
1,NA,NA,NA,NA,2,Inf,-Inf,-Inf,0,0,3,34
0.44518407302171,0.4425817469101796,1247068.5427319587,171.0715928527094,1.1849051956026463e-133,5,-16565.01391549658,33144.02783099316,33178.868800384575,1657821826989537.8,1066,1072,35
0.5744284154471085,0.5642472770606757,135664.61459711936,56.420843489622044,6.079119465896123e-37,5,-2842.8864544133285,5699.772908826657,5723.36737502355,3846621519641.051,209,215,36
0.9955589874086477,0.9954175538866301,18945.058813713735,7039.059575175124,1.1309122420973482e-182,5,-1833.666016429065,3681.33203285813,3702.988284263777,56349694792.446365,157,163,37
0.10369940713205515,0.09901654092062384,177444.71645505403,22.144430878447096,4.812012686842032e-21,5,-13002.645473310218,26019.290946620436,26053.381320503024,30132702419708.496,957,963,38
0.6355512786822941,0.6192812464806108,52471.8616371321,39.06269334958905,4.7415377338204676e-23,5,-1446.7836031385932,2907.5672062771864,2926.961998648446,308369181530.6295,112,118,39
0.42448996051846216,0.42427797067041395,142879.1051270728,2002.4070229143063,0,5,-180457.44574388477,360928.89148776955,360981.50596157735,277105590668288.72,13574,13580,41
0.7057754285931687,0.7053609110228576,336689.282676026,1702.6429737669416,0,5,-50285.50952817846,100585.01905635692,100628.25182875257,402313479721515.2,3549,3555,42
0.5948109970255506,0.5947090267711278,40288.86416916504,5833.181454655052,0,5,-238937.50905537183,477889.01811074367,477944.2982841102,32249590100791.14,19868,19874,43
0.5693090485396066,0.5691629921941574,54723.89180766984,3897.872747595845,0,5,-181849.66391619135,363713.3278323827,363766.52082091506,44153920709011.45,14744,14750,45
0.24159304463605932,0.2414531687682313,433573.86044715694,1727.1960373677173,0,5,-390433.6667010152,780881.3334020304,780938.7885567002,5096308388673305,27110,27116,46
0.907887354833708,0.9078762236652569,82784.97260031426,81562.62829231194,0,5,-527325.358040264,1054664.716080528,1054725.1302895066,283564279460677.56,41376,41382,47
0.8359759081344373,0.8358847532539964,136849.91705506164,9170.939658852212,0,5,-119246.94350996331,238507.88701992662,238557.6242118654,168494914482401.34,8997,9003,49
0.32583173894607304,0.2951877270799854,139307.03600272047,10.632802923126947,2.3829570712647088e-8,5,-1535.4710374951005,3084.942074990201,3104.2172063279454,2134709530784.959,110,116,50
0.9993815743229904,0.9993496967107733,261539.7821758164,31350.578190117496,6.289110991010174e-154,5,-1427.9169346247902,2869.8338692495804,2888.276972167188,6635096593075.628,97,103,51
0.8953304421433649,0.8951547041348749,212138.955045968,5094.688677972514,0,5,-40829.85997616673,81673.71995233346,81715.72709206272,134018744146529.8,2978,2984,52
0.9836713366403399,0.9835327231992562,55363.17807329948,7096.507589378376,0,5,-7339.646846385452,14693.293692770903,14724.013622609722,1805332995475.3865,589,595,53
0.8183589169817567,0.8180889391532515,272579.61344811093,3031.207864412625,0,5,-46956.682036323225,93927.36407264645,93970.22274880987,249944008025542.6,3364,3370,55
0.8431793148957404,0.8431252723410831,24909.13687054479,15602.13650602142,0,5,-167528.09142581362,335070.18285162724,335123.26341676246,9002328130611.96,14509,14515,56
