firm_owner,N,share,nace2
state,20,0.005005005005005005,52
local gov,15,0.0037537537537537537,52
NA,677,0.5071161048689139,53
domestic,632,0.47340823970037454,53
foreign,25,0.018726591760299626,53
state,1,7.49063670411985e-4,53
domestic,3542,0.76254036598493,55
NA,677,0.1457481162540366,55
foreign,393,0.08460710441334769,55
local gov,26,0.005597416576964478,55
state,7,0.0015069967707212056,55
domestic,15382,0.9288647342995169,56
NA,677,0.04088164251207729,56
foreign,445,0.026871980676328504,56
local gov,54,0.003260869565217391,56
state,2,1.2077294685990338e-4,56
NA,677,0.9985250737463127,57
domestic,1,0.0014749262536873156,57
domestic,2776,0.7620093329673346,58
NA,677,0.18583584957452648,58
foreign,170,0.04666483667307164,58
local gov,15,0.0041174855888004395,58
state,5,0.001372495196266813,58
domestic,2780,0.764366235908716,59
NA,677,0.18614242507561177,59
foreign,159,0.04371734946384383,59
local gov,16,0.004399230134726423,59
state,5,0.0013747594171020072,59
NA,677,0.5912663755458515,60
domestic,410,0.35807860262008734,60
local gov,47,0.04104803493449782,60
foreign,9,0.007860262008733625,60
state,2,0.0017467248908296944,60
domestic,727,0.48018494055482164,61
NA,677,0.4471598414795244,61
foreign,97,0.06406869220607662,61
local gov,10,0.0066050198150594455,61
state,3,0.0019815059445178335,61
domestic,12712,0.8986921173559562,62
foreign,733,0.05182043124779074,62
NA,677,0.047861435136090494,62
state,18,0.0012725344644750796,62
local gov,5,3.534817956875221e-4,62
domestic,3287,0.7926211719315167,63
NA,677,0.1632505425608874,63
foreign,169,0.04075235109717868,63
local gov,7,0.0016879672052085846,63
state,7,0.0016879672052085846,63
domestic,2765,0.6489087068763201,64
foreign,766,0.1797700070406008,64
NA,677,0.158882891340061,64
local gov,29,0.006805914104670265,64
state,24,0.005632480638347806,64
NA,677,0.9286694101508917,65
domestic,34,0.04663923182441701,65
foreign,16,0.02194787379972565,65
state,2,0.0027434842249657062,65
domestic,5741,0.8699803000454615,66
NA,677,0.10259130171238066,66
foreign,171,0.02591301712380664,66
state,10,0.0015153811183512653,66
NA,677,0.9985250737463127,67
domestic,1,0.0014749262536873156,67
domestic,31515,0.8366073798778869,68
foreign,5240,0.13910273427130343,68
NA,677,0.01797186089726573,68
local gov,177,0.0046986992301566236,68
state,61,0.0016193257233873108,68
domestic,14715,0.9457548685648178,69
NA,677,0.04351179381708336,69
foreign,161,0.010347708721640208,69
local gov,4,2.570859309724275e-4,69
state,2,1.2854296548621375e-4,69
domestic,17847,0.9009995961227787,70
foreign,1166,0.058865105008077546,70
NA,677,0.0341781098546042,70
local gov,82,0.004139741518578352,70
state,36,0.0018174474959612278,70
domestic,14977,0.9308844552178507,71
NA,677,0.042078438684815714,71
foreign,390,0.02424016408726459,71
local gov,24,0.0014917024053701287,71
state,21,0.0013052396046988625,71
domestic,2878,0.7686965811965812,72
NA,677,0.18082264957264957,72
foreign,150,0.04006410256410257,72
state,31,0.00827991452991453,72
local gov,8,0.002136752136752137,72
domestic,4710,0.8309809456598447,73
NA,677,0.11944248412138321,73
foreign,275,0.04851799576570219,73
local gov,6,0.001058574453069866,73
domestic,6404,0.8764198713562338,74
NA,677,0.0926508827152046,74
foreign,202,0.027644724237032983,74
local gov,12,0.0016422608457643355,74
state,12,0.0016422608457643355,74
domestic,736,0.5186751233262861,75
NA,677,0.4770965468639887,75
foreign,6,0.004228329809725159,75
NA,677,0.9970544918998527,76
domestic,2,0.0029455081001472753,76
domestic,3071,0.7597723899059872,77
NA,677,0.16749134092033646,77
foreign,285,0.07050964868876794,77
state,6,0.0014844136566056407,77
local gov,3,7.422068283028204e-4,77
domestic,1110,0.5733471074380165,78
NA,677,0.3496900826446281,78
foreign,142,0.07334710743801653,78
local gov,7,0.003615702479338843,78
domestic,1371,0.6332563510392609,79
NA,677,0.31270207852193993,79
foreign,114,0.052655889145496536,79
local gov,3,0.0013856812933025404,79
domestic,2371,0.7618894601542416,80
NA,677,0.21754498714652956,80
foreign,54,0.017352185089974295,80
local gov,5,0.0016066838046272494,80
state,5,0.0016066838046272494,80
domestic,5267,0.843394715772618,81
NA,677,0.10840672538030424,81
foreign,153,0.024499599679743796,81
local gov,136,0.02177742193755004,81
