term,estimate,std.error,statistic,p.value
(Intercept),10120.981669718014,1152.287920584239,8.783379126795342,1.5929954952634135e-18
tanass_clean,-0.0129378017187054,2.714110326929004e-4,-47.66866545673708,0
eszk,0.015294364324233938,1.0756017194127878e-4,142.19356522211322,0
emp,-2585.8909576601523,31.232162060141892,-82.79577163696378,0
persexp_clean,0.637568241509636,0.005081690108394298,125.46381772797506,0
liabilities,-0.0032577269195058858,2.6875680962793673e-4,-12.12146744864191,8.251677992264468e-34
