term,estimate,std.error,statistic,p.value
(Intercept),0.09711877823773966,4.906501246260237e-4,197.93896579923248,0
tanass_clean,8.801784583644351e-11,1.1556483550926409e-10,0.7616317320798478,0.4462803222184094
eszk,-5.2325608997179114e-11,4.579845381212205e-11,-1.1425191167333566,0.25323905342515124
emp,-4.690422654266691e-5,1.3298824010804782e-5,-3.526945427998674,4.204349130749197e-4
persexp_clean,1.8770171959143938e-9,2.1638100021425308e-9,0.8674593398014777,0.38569095073317905
liabilities,-1.974994222511695e-11,1.1443698379423792e-10,-0.17258356145272147,0.8629788696838553
