r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,nace2
1.5792395998524543e-4,1.44236643067841e-4,0.2957419505582041,11.537977891329017,3.652087586721434e-11,5,-73291.91458732386,146597.82917464772,146673.487535955,31945.446027311576,365244,365250,ALL
0.00463922605379796,0.003172872527065107,0.297203686436001,3.1637841551994494,0.007472593862157868,5,-696.04065081096,1406.08130162192,1449.0020165961496,299.792125998519,3394,3400,10
0.006855794365192868,0.005862053915288157,0.2126772603776457,6.898978869029631,1.9940737415213492e-6,5,648.5936164434553,-1283.1872328869106,-1237.5626818064932,226.02239055745932,4997,5003,11
0.004629687188766841,-0.0014843810717444228,0.2546671393847535,0.7572187603250121,0.580874919492893,5,-38.92427152764284,91.84854305528567,124.81367343709377,52.79225643228456,814,820,12
0.014224434385333256,0.008342718600042875,0.2599531073890763,2.4184157998431757,0.03441811078197294,5,-57.49101446694679,128.98202893389356,162.14909639606526,56.62836791855628,838,844,13
0.007111899868855739,0.005392315351829158,0.27037252665854555,4.135824554383232,9.570904516294325e-4,5,-318.07356964242234,650.1471392848447,691.9374844196776,211.04346225677278,2887,2893,14
0.002210980017613598,-0.00747629202105049,0.25805984194061676,0.22823556609013462,0.9502062400790914,5,-30.52184053662043,75.04368107324086,104.83393136551443,34.296364241544296,515,521,15
0.004001671866503127,0.002579629707546105,0.2767821272959667,2.8140318072131607,0.015307490728574983,5,-468.5214167850636,951.0428335701272,994.1824430445718,268.28242765866344,3502,3508,16
0.023984489884954267,0.014828622060235275,0.25738763427764527,2.6195758112847547,0.02360625848124353,5,-30.275324915002457,74.55064983000491,104.5786588263679,35.310394150729856,533,539,17
0.006534237394797015,0.004282501758792523,0.2938083033849927,2.901867026624542,0.012875330020834543,5,-426.36896837533106,866.7379367506621,906.6495032891577,190.42924201835717,2206,2212,18
0.5522632001812382,-0.007407799592213937,0.42319584110374336,0.9867640102931675,0.5196405845635179,5,-1.0087294152167408,16.017458830433483,18.1355544813918,0.7163788797100191,4,10,19
0.003686198136236225,-0.005241344891216748,0.22871037884406445,0.4129017496640229,0.839906918555038,5,34.803260349656355,-55.60652069931271,-25.261140938826294,29.188108064175477,558,564,20
0.001720082943790144,-0.0032170086341336557,0.24686091768529678,0.3484000482149173,0.8834281235917218,5,-17.3396033261407,48.6792066522814,83.15149342462132,61.61065611991156,1011,1017,21
0.0029345310551065337,5.014772021418867e-4,0.2585182157187865,1.206110194203428,0.30368757212330894,5,-132.93265496341184,279.86530992682367,319.261527815336,136.9380874419129,2049,2055,22
0.012506231911241242,0.008859652265418738,0.252620840091917,3.4295787082473246,0.004389128899930667,5,-55.57259261221002,125.14518522442005,161.65186507553074,86.40860910120195,1354,1360,23
0.017676378645304823,0.01038911142457255,0.26917017421175266,2.425652595120405,0.03414776453967334,5,-69.42508148397232,152.85016296794464,184.50481255513571,48.833040729814876,674,680,24
0.0028197015392264833,0.001999382109759029,0.27060635857059395,3.437321411558701,0.004194458115552586,5,-677.4845973862072,1368.9691947724143,1415.9631183460685,445.07857629433056,6078,6084,25
0.003070566583991403,-0.0011287991843993428,0.28841279143187376,0.7311976982581219,0.6000777594672514,5,-206.4546126117632,426.9092252235264,462.4988101782118,98.73696071643079,1187,1193,26
0.005841550340280954,-9.677541094430531e-4,0.26104569412729633,0.8578776853658878,0.5090692745658592,5,-52.83444242886404,119.66888485772807,151.8774956888302,49.74574372835344,730,736,27
0.002851579556725816,4.430084928531697e-4,0.2540772982031719,1.1839300070892982,0.3145298619308433,5,-98.34971021772962,210.69942043545925,250.1668081454597,133.6294160668027,2070,2076,28
0.004231008084910057,-0.007320836368861272,0.2289183422663789,0.36626255675809016,0.8716330143351262,5,27.25304278507641,-40.50608557015282,-11.946553204483692,22.58595480060039,431,437,29
0.01435837898951411,-0.010160069294328888,0.29765426979974907,0.5856153221154674,0.7109990365865835,5,-39.828653923292684,93.65730784658537,116.98633939944295,17.808210930334383,201,207,30
0.0023203074270631645,-5.156212044687969e-4,0.2585527139534575,0.8181825879763968,0.536582743152709,5,-113.98411921795675,241.9682384359135,280.29958022148526,117.58828086525652,1759,1765,31
0.003624895413605666,7.233954002499043e-4,0.2861030751608294,1.2493177311459527,0.28349761951946834,5,-285.6582633725741,585.3165267451482,623.4792824008437,140.54498283150164,1717,1723,32
0.0021128577205171066,8.215535527600348e-5,0.25897571012352566,1.0404566206659434,0.39196819548243184,5,-164.2772119735833,342.5544239471666,383.21837173401036,164.78710409229967,2457,2463,33
NA,NA,NA,NA,NA,2,Inf,-Inf,-Inf,0,0,3,34
0.0046165417285146506,-5.2236218349710484e-5,0.28161256919460864,0.9888115864699005,0.4233005582746816,5,-159.63060234856673,333.26120469713345,368.1021740885487,84.53981131086186,1066,1072,35
0.012659260616365764,-0.010961331234917271,0.2860526607140042,0.5359417196685564,0.7489140742289777,5,-32.93956700214264,79.87913400428528,103.47360020117891,17.101660062626294,209,215,36
0.06936741555263015,0.039729435156217074,0.29245843895883294,2.3404906348148256,0.04411038166165012,5,-27.832840718517765,69.66568143703553,91.32193284268287,13.428514347363276,157,163,37
0.012033043907592194,0.006871252078478163,0.30145548393794286,2.3311757439969756,0.04064220309960871,5,-208.66341846031546,431.3268369206309,465.4172108032178,86.96776621802017,957,963,38
0.01840954643335127,-0.02541145595801697,0.2234085472736313,0.42010783479881186,0.8338992208745853,5,12.497082227702794,-10.994164455405588,8.400627915854066,5.590074447430407,112,118,39
0.0023153746014042296,0.0019478762127942417,0.32374271312697334,6.300366676875374,7.5680525379826265e-6,5,-3950.5767759121895,7915.153551824379,7967.768025632168,1422.6820395663938,13574,13580,41
0.007697301099092299,0.006299297860291375,0.31087741966973775,5.505925083331159,4.692667286966446e-5,5,-887.8162612521716,1789.6325225043431,1832.8652949000045,342.99228894476505,3549,3555,42
0.00660178494368444,0.0063517853928850565,0.28780145775694294,26.407187223239934,1.0840846699507119e-26,5,-3444.226605442634,6902.453210885268,6957.733384251807,1645.660064100941,19868,19874,43
0.001983805909293277,0.0016453576611614729,0.277777517871441,5.861474893855619,2.0419829515025146e-5,5,-2032.5547328355171,4079.1094656710343,4132.30245420341,1137.6521920669672,14744,14750,45
0.00234960082389014,0.0021656003814011227,0.296979686628119,12.769538986455613,2.0102700462468405e-12,5,-5551.6307978768455,11117.261595753691,11174.716750423548,2391.0188880525366,27110,27116,46
4.0054167296295367e-4,2.797470748473474e-4,0.2880952199278304,3.3158906044731116,0.005376591017821396,5,-7217.09544980472,14448.19089960944,14508.605108588055,3434.1606553160827,41376,41382,47
0.0034223487367249965,0.0028685098730686365,0.2815662573308298,6.1793221120870765,1.0033541506206375e-5,5,-1361.4130715946078,2736.8261431892156,2786.563335127975,713.2781767338175,8997,9003,49
0.011721686040526098,-0.033200055503086245,0.2990923380740596,0.2609356992347692,0.9334244464162652,5,-21.504160071367487,57.00832014273497,76.28345148047953,9.84018493640683,110,116,50
0.03684539072701691,-0.012801754080868921,0.2706763554971683,0.7421452103558744,0.5937641198029333,5,-8.45610392756371,30.91220785512742,49.35531077273487,7.106771874247253,97,103,51
3.695751154666831e-4,-0.001308783556267068,0.29461982422761807,0.2202003193303988,0.9539838934375928,5,-584.4542191032281,1182.9084382064561,1224.9155779357218,258.49290398552364,2978,2984,52
0.004000269935819283,-0.00445473626166959,0.3560891949951905,0.473124423848133,0.7963946176086422,5,-226.87164983857517,467.74329967715033,498.4632295159697,74.68491421267812,589,595,53
0.002077306883532901,5.940686357379654e-4,0.2681970559743714,1.400521383952355,0.2207558532343495,5,-343.78801206850625,701.5760241370125,744.4347003004374,241.97137904328875,3364,3370,55
