region,N,share
1,215251,0.517934527605
6,35627,0.0857252854341366
7,35569,0.0855857264885285
2,34380,0.08272476810356236
3,32527,0.07826610041025518
4,27028,0.06503446865337649
5,26540,0.06386024855929451
NA,8673,0.020868874745846318
