term,estimate,std.error,statistic,p.value
(Intercept),83434.68519024739,8815.054780540166,9.465021746028754,2.9515413501130217e-21
tanass_clean,-0.07734726007365668,0.002075655372084927,-37.264018446358904,2.3511513234408272e-303
eszk,0.10985701411630668,8.22437453424204e-4,133.57491643761955,0
emp,-42236.26324998678,238.8173859582251,-176.8558979930168,0
persexp_clean,13.628270948209108,0.038858221475337434,350.7178257465723,0
liabilities,-0.06612976343993482,0.0020553728460414385,-32.17409608543674,8.473144982471184e-227
