firm_owner,N,share
domestic,389561,0.9373572829317003
foreign,23165,0.05573936163813328
local gov,1620,0.003898025722157389
state,572,0.0013763399463419916
other,341,8.205103526269565e-4
,336,8.08479409040051e-4
