term,estimate,std.error,statistic,p.value,nace2
(Intercept),0.09711877823773966,4.906501246260237e-4,197.93896579923248,0,ALL
tanass_clean,8.801784583644351e-11,1.1556483550926409e-10,0.7616317320798478,0.4462803222184094,ALL
eszk,-5.2325608997179114e-11,4.579845381212205e-11,-1.1425191167333566,0.25323905342515124,ALL
emp,-4.690422654266691e-5,1.3298824010804782e-5,-3.526945427998674,4.204349130749197e-4,ALL
persexp_clean,1.8770171959143938e-9,2.1638100021425308e-9,0.8674593398014777,0.38569095073317905,ALL
liabilities,-1.974994222511695e-11,1.1443698379423792e-10,-0.17258356145272147,0.8629788696838553,ALL
(Intercept),0.10348781536487692,0.005272547649723302,19.62766811036935,2.4707069500103244e-81,10
tanass_clean,-1.794656126888598e-9,3.956827089172531e-9,-0.4535594016224511,0.6501749771329244,10
eszk,-3.986615642192473e-9,3.670860621778527e-9,-1.0860166192474405,0.2775487661579032,10
emp,-3.920190271328371e-4,1.5832710510087558e-4,-2.476007041770065,0.013334523745866928,10
persexp_clean,5.33053993814039e-8,3.305890951719037e-8,1.6124367125202819,0.1069599149202371,10
liabilities,4.5893134614151905e-9,4.739279894374473e-9,0.9683567047522783,0.33293525272027624,10
(Intercept),0.054747684795918426,0.0033005930582960456,16.587226546547456,3.419633370591281e-60,11
tanass_clean,8.892666454919974e-9,1.5044536543180578e-8,0.5910894250146151,0.5544872398625343,11
eszk,-3.242678778207148e-8,9.363074365838814e-9,-3.4632628680575954,5.381443398017733e-4,11
emp,-9.80720838021884e-4,4.7476189376926e-4,-2.065710940353031,0.038907218030082534,11
persexp_clean,1.3579811600836583e-7,5.722591660493011e-8,2.3730177525311422,0.01768103570130907,11
liabilities,3.8411858125313986e-8,1.0016278977519638e-8,3.834942917576966,1.2713981982256776e-4,11
(Intercept),0.07492698448853989,0.009351483631672639,8.01230985795333,3.892379508937691e-15,12
tanass_clean,-3.279655616458714e-8,4.2778476978147474e-8,-0.7666602104918462,0.44350584895219325,12
eszk,-3.815299534146238e-8,5.6245012780556374e-8,-0.6783356151116687,0.49775170889727993,12
emp,-0.0023136252818476994,0.0015884700152303398,-1.4565117752708772,0.1456368025820578,12
persexp_clean,7.112040888006421e-7,4.5624397722839946e-7,1.5588240597083158,0.11942671315364074,12
liabilities,3.343009129623804e-8,7.562670484912654e-8,0.44204082887030804,0.6585770757567809,12
(Intercept),0.07547363867543956,0.009279398276631656,8.13346258296781,1.4981232176998573e-15,13
tanass_clean,-4.2579777032496895e-8,8.168198748173496e-8,-0.5212872304560198,0.6023044231383826,13
eszk,-5.8884189811245544e-8,4.7506440344186203e-8,-1.2394990949569586,0.21550773044674054,13
emp,-2.5044525882264167e-4,1.6249990220874234e-4,-1.541202520238612,0.12364501310968558,13
persexp_clean,2.588472339207561e-7,1.0122555852259602e-7,2.5571331756393825,0.010728955986997803,13
liabilities,3.65063968994708e-8,5.1307286094745105e-8,0.7115246133279653,0.4769572171076052,13
(Intercept),0.08652460467686329,0.005290978526444139,16.353233006789978,1.4753703521795899e-57,14
tanass_clean,-1.280401089909635e-8,1.7003660544982823e-8,-0.7530149678784525,0.4515023177242925,14
eszk,-2.7928955901353634e-8,1.3555436174677935e-8,-2.0603509574650185,0.03945441831804026,14
emp,-7.860215757531687e-4,4.439896114776278e-4,-1.770360286442818,0.07677265593168023,14
persexp_clean,2.1872120344245792e-7,1.573741259040073e-7,1.3898167960333594,0.16469167279599212,14
liabilities,3.948171721537929e-8,1.4954134128719437e-8,2.6401874475336284,0.008330626586871878,14
(Intercept),0.07430766151665284,0.012116764563756129,6.132632281964376,1.7229074185572207e-9,15
tanass_clean,-1.217150621797249e-8,2.841167781407434e-8,-0.4283980093545574,0.6685404849336554,15
eszk,5.75811450705979e-9,1.8062838506736146e-8,0.3187823721566478,0.7500207928289957,15
emp,-2.5617650912179094e-4,8.691685076491743e-4,-0.2947374494902804,0.7683132234139374,15
persexp_clean,3.3746507325870836e-8,2.1754876187263377e-7,0.15512157842400448,0.8767862479321111,15
liabilities,-1.5815018295002231e-9,4.766868757405202e-8,-0.0331769534674812,0.9735463305915151,15
(Intercept),0.09052813852908848,0.005011111976494035,18.06547907006169,8.035027937291228e-70,16
tanass_clean,3.2515740696120874e-9,2.1451705766794695e-8,0.15157648090834952,0.8795297153969088,16
eszk,-1.9903623412695263e-8,1.4046948355070727e-8,-1.4169357578303026,0.15659066212152997,16
