region,N,share,nace2
3,37,0.03262786596119929,92
2,32,0.02821869488536155,92
5,32,0.02821869488536155,92
4,30,0.026455026455026454,92
1,1887,0.4317089910775566,93
NA,747,0.17089910775566233,93
2,341,0.07801418439716312,93
3,335,0.07664150080073209,93
7,290,0.06634637382749943,93
6,267,0.06108442004118051,93
5,254,0.05811027224891329,93
4,250,0.057195149851292613,93
NA,694,0.5651465798045603,94
1,192,0.1563517915309446,94
5,112,0.09120521172638436,94
7,60,0.048859934853420196,94
6,51,0.041530944625407164,94
4,49,0.039902280130293157,94
2,37,0.03013029315960912,94
3,33,0.02687296416938111,94
1,958,0.38076311605723373,95
NA,710,0.2821939586645469,95
6,168,0.06677265500794913,95
3,153,0.060810810810810814,95
7,146,0.05802861685214626,95
2,140,0.05564387917329094,95
4,125,0.049682034976152624,95
5,116,0.046104928457869634,95
1,2814,0.4954225352112676,96
NA,755,0.1329225352112676,96
3,454,0.07992957746478874,96
7,386,0.06795774647887325,96
2,374,0.0658450704225352,96
5,308,0.054225352112676053,96
4,302,0.05316901408450704,96
6,287,0.05052816901408451,96
NA,677,0.9912152269399708,98
1,3,0.004392386530014641,98
2,1,0.0014641288433382138,98
5,1,0.0014641288433382138,98
6,1,0.0014641288433382138,98
NA,678,0.958981612446959,99
1,14,0.019801980198019802,99
2,5,0.007072135785007072,99
5,3,0.004243281471004243,99
3,2,0.002828854314002829,99
4,2,0.002828854314002829,99
6,2,0.002828854314002829,99
7,1,0.0014144271570014145,99
