var1,var2,cor,nace2
liabilities,age,0.12117711060758989,10
age,tanass_clean,0.13358716990238934,10
tanass_clean,tanass_clean,1,10
eszk,tanass_clean,0.813935008571404,10
sales_clean,tanass_clean,0.6807234177008595,10
pretax,tanass_clean,0.47730950447788073,10
persexp_clean,tanass_clean,0.6873375500563049,10
satok,tanass_clean,0.6060669765591356,10
export_value,tanass_clean,0.5805550073295256,10
ereduzem,tanass_clean,0.5543831737235513,10
emp,tanass_clean,0.6154823091438836,10
liabilities,tanass_clean,0.7565239899295652,10
age,eszk,0.1615048048118066,10
tanass_clean,eszk,0.813935008571404,10
eszk,eszk,1,10
sales_clean,eszk,0.8253474062647549,10
pretax,eszk,0.4495399088204346,10
persexp_clean,eszk,0.7969004943529205,10
satok,eszk,0.8269386078867208,10
export_value,eszk,0.7616413801214648,10
ereduzem,eszk,0.55768977106004,10
emp,eszk,0.7078629544617016,10
liabilities,eszk,0.9330325347961763,10
age,sales_clean,0.18394635560432404,10
tanass_clean,sales_clean,0.6807234177008595,10
eszk,sales_clean,0.8253474062647549,10
sales_clean,sales_clean,1,10
pretax,sales_clean,0.6588970731452081,10
persexp_clean,sales_clean,0.8748489471205878,10
satok,sales_clean,0.7387697730513691,10
export_value,sales_clean,0.9090070820894771,10
ereduzem,sales_clean,0.7270149472068363,10
emp,sales_clean,0.7501392236445832,10
liabilities,sales_clean,0.7472580182987443,10
age,pretax,0.10529409214516995,10
tanass_clean,pretax,0.47730950447788073,10
eszk,pretax,0.4495399088204346,10
sales_clean,pretax,0.6588970731452081,10
pretax,pretax,1,10
persexp_clean,pretax,0.5418623880918451,10
satok,pretax,0.5980909901529148,10
export_value,pretax,0.6246503600154412,10
ereduzem,pretax,0.9778483524597494,10
emp,pretax,0.4543204519073766,10
liabilities,pretax,0.2747111361977387,10
age,persexp_clean,0.21470458780789792,10
tanass_clean,persexp_clean,0.6873375500563049,10
eszk,persexp_clean,0.7969004943529205,10
sales_clean,persexp_clean,0.8748489471205878,10
pretax,persexp_clean,0.5418623880918451,10
persexp_clean,persexp_clean,1,10
satok,persexp_clean,0.7187172339219493,10
export_value,persexp_clean,0.7333923882621955,10
ereduzem,persexp_clean,0.5969549666104036,10
emp,persexp_clean,0.9384436746683598,10
liabilities,persexp_clean,0.71666562002425,10
age,satok,0.18538431406205194,10
tanass_clean,satok,0.6060669765591356,10
eszk,satok,0.8269386078867208,10
sales_clean,satok,0.7387697730513691,10
pretax,satok,0.5980909901529148,10
persexp_clean,satok,0.7187172339219493,10
satok,satok,1,10
export_value,satok,0.6402303662719947,10
ereduzem,satok,0.6373124593256563,10
emp,satok,0.6602194037665021,10
liabilities,satok,0.582117622402968,10
age,export_value,0.11724102008051333,10
tanass_clean,export_value,0.5805550073295256,10
eszk,export_value,0.7616413801214648,10
sales_clean,export_value,0.9090070820894771,10
pretax,export_value,0.6246503600154412,10
persexp_clean,export_value,0.7333923882621955,10
satok,export_value,0.6402303662719947,10
export_value,export_value,1,10
ereduzem,export_value,0.7032698006123067,10
emp,export_value,0.5607044971789823,10
liabilities,export_value,0.7078014306629679,10
age,ereduzem,0.11582133105495143,10
tanass_clean,ereduzem,0.5543831737235513,10
eszk,ereduzem,0.55768977106004,10
sales_clean,ereduzem,0.7270149472068363,10
pretax,ereduzem,0.9778483524597494,10
persexp_clean,ereduzem,0.5969549666104036,10
satok,ereduzem,0.6373124593256563,10
export_value,ereduzem,0.7032698006123067,10
ereduzem,ereduzem,1,10
emp,ereduzem,0.49087012444218936,10
liabilities,ereduzem,0.4098507419317333,10
age,emp,0.22421352652154844,10
tanass_clean,emp,0.6154823091438836,10
eszk,emp,0.7078629544617016,10
sales_clean,emp,0.7501392236445832,10
pretax,emp,0.4543204519073766,10
persexp_clean,emp,0.9384436746683598,10
satok,emp,0.6602194037665021,10
export_value,emp,0.5607044971789823,10
ereduzem,emp,0.49087012444218936,10
emp,emp,1,10
liabilities,emp,0.6206301556295745,10
age,liabilities,0.12117711060758989,10
tanass_clean,liabilities,0.7565239899295652,10
eszk,liabilities,0.9330325347961763,10
sales_clean,liabilities,0.7472580182987443,10
pretax,liabilities,0.2747111361977387,10
persexp_clean,liabilities,0.71666562002425,10
satok,liabilities,0.582117622402968,10
export_value,liabilities,0.7078014306629679,10
ereduzem,liabilities,0.4098507419317333,10
emp,liabilities,0.6206301556295745,10
liabilities,liabilities,1,10
age,age,1,11
tanass_clean,age,0.14865078516267963,11
eszk,age,0.14455035734728536,11
sales_clean,age,0.07536135221831897,11
pretax,age,0.05503342060937081,11
persexp_clean,age,0.11202747872922329,11
satok,age,0.2164212983873972,11
export_value,age,-0.013142398679199465,11
ereduzem,age,0.05140787268438656,11
emp,age,0.19076448213451996,11
liabilities,age,0.058329983758880835,11
age,tanass_clean,0.14865078516267963,11
tanass_clean,tanass_clean,1,11
eszk,tanass_clean,0.9349349290781009,11
sales_clean,tanass_clean,0.7909622930517821,11
pretax,tanass_clean,0.6799248433840365,11
persexp_clean,tanass_clean,0.8392272831427472,11
satok,tanass_clean,0.8419847568185749,11
export_value,tanass_clean,0.6990320053722039,11
ereduzem,tanass_clean,0.7182759914501797,11
emp,tanass_clean,0.8458501288821069,11
liabilities,tanass_clean,0.8086056579828564,11
age,eszk,0.14455035734728536,11
tanass_clean,eszk,0.9349349290781009,11
eszk,eszk,1,11
sales_clean,eszk,0.763655386456398,11
pretax,eszk,0.6424552637588586,11
persexp_clean,eszk,0.7801541901778642,11
satok,eszk,0.8484524189401809,11
export_value,eszk,0.7885539920636359,11
ereduzem,eszk,0.6959000438102954,11
emp,eszk,0.7800599684194566,11
liabilities,eszk,0.9088417373478689,11
age,sales_clean,0.07536135221831897,11
tanass_clean,sales_clean,0.7909622930517821,11
eszk,sales_clean,0.763655386456398,11
sales_clean,sales_clean,1,11
pretax,sales_clean,0.8881181841589187,11
persexp_clean,sales_clean,0.95993256142408,11
satok,sales_clean,0.5680270660728676,11
export_value,sales_clean,0.7286655705894964,11
ereduzem,sales_clean,0.9141038803133328,11
emp,sales_clean,0.8197312764775692,11
liabilities,sales_clean,0.7483114143859009,11
age,pretax,0.05503342060937081,11
tanass_clean,pretax,0.6799248433840365,11
eszk,pretax,0.6424552637588586,11
sales_clean,pretax,0.8881181841589187,11
pretax,pretax,1,11
persexp_clean,pretax,0.8598051549403948,11
satok,pretax,0.5253354699557501,11
export_value,pretax,0.6099622047617683,11
ereduzem,pretax,0.9865167571432045,11
emp,pretax,0.7011273504132755,11
liabilities,pretax,0.5967593906231364,11
age,persexp_clean,0.11202747872922329,11
tanass_clean,persexp_clean,0.8392272831427472,11
eszk,persexp_clean,0.7801541901778642,11
sales_clean,persexp_clean,0.95993256142408,11
pretax,persexp_clean,0.8598051549403948,11
persexp_clean,persexp_clean,1,11
satok,persexp_clean,0.7053351143496139,11
export_value,persexp_clean,0.6279383004066854,11
ereduzem,persexp_clean,0.8730669862169627,11
emp,persexp_clean,0.9533509582948145,11
liabilities,persexp_clean,0.6943797401363891,11
age,satok,0.2164212983873972,11
tanass_clean,satok,0.8419847568185749,11
eszk,satok,0.8484524189401809,11
sales_clean,satok,0.5680270660728676,11
pretax,satok,0.5253354699557501,11
persexp_clean,satok,0.7053351143496139,11
satok,satok,1,11
export_value,satok,0.4691906740451271,11
ereduzem,satok,0.5152947241411943,11
emp,satok,0.7725091120341077,11
liabilities,satok,0.5534992782728605,11
age,export_value,-0.013142398679199465,11
tanass_clean,export_value,0.6990320053722039,11
eszk,export_value,0.7885539920636359,11
sales_clean,export_value,0.7286655705894964,11
pretax,export_value,0.6099622047617683,11
persexp_clean,export_value,0.6279383004066854,11
satok,export_value,0.4691906740451271,11
export_value,export_value,1,11
ereduzem,export_value,0.6860701725299037,11
emp,export_value,0.5188713753580768,11
liabilities,export_value,0.861908431774026,11
age,ereduzem,0.05140787268438656,11
tanass_clean,ereduzem,0.7182759914501797,11
eszk,ereduzem,0.6959000438102954,11
sales_clean,ereduzem,0.9141038803133328,11
pretax,ereduzem,0.9865167571432045,11
persexp_clean,ereduzem,0.8730669862169627,11
satok,ereduzem,0.5152947241411943,11
export_value,ereduzem,0.6860701725299037,11
ereduzem,ereduzem,1,11
emp,ereduzem,0.697668726297027,11
liabilities,ereduzem,0.6861713451449728,11
age,emp,0.19076448213451996,11
tanass_clean,emp,0.8458501288821069,11
eszk,emp,0.7800599684194566,11
sales_clean,emp,0.8197312764775692,11
pretax,emp,0.7011273504132755,11
persexp_clean,emp,0.9533509582948145,11
satok,emp,0.7725091120341077,11
export_value,emp,0.5188713753580768,11
ereduzem,emp,0.697668726297027,11
emp,emp,1,11
liabilities,emp,0.6162744303714579,11
age,liabilities,0.058329983758880835,11
tanass_clean,liabilities,0.8086056579828564,11
eszk,liabilities,0.9088417373478689,11
sales_clean,liabilities,0.7483114143859009,11
pretax,liabilities,0.5967593906231364,11
persexp_clean,liabilities,0.6943797401363891,11
satok,liabilities,0.5534992782728605,11
export_value,liabilities,0.861908431774026,11
ereduzem,liabilities,0.6861713451449728,11
emp,liabilities,0.6162744303714579,11
liabilities,liabilities,1,11
age,age,1,12
tanass_clean,age,0.16050173815031188,12
eszk,age,0.163512143833712,12
sales_clean,age,0.1340200708134632,12
pretax,age,0.11985747888902626,12
persexp_clean,age,0.16385674409050968,12
satok,age,0.17923077318369401,12
export_value,age,0.26102010051739427,12
ereduzem,age,0.1198252539844767,12
emp,age,0.19584494740129357,12
liabilities,age,0.14239125471649358,12
age,tanass_clean,0.16050173815031188,12
tanass_clean,tanass_clean,1,12
eszk,tanass_clean,0.9682446151646994,12
sales_clean,tanass_clean,0.9808143330937995,12
pretax,tanass_clean,0.9554525735173615,12
persexp_clean,tanass_clean,0.9638107969213916,12
satok,tanass_clean,0.976013239639362,12
export_value,tanass_clean,0.9316709584793601,12
ereduzem,tanass_clean,0.9459488839612937,12
emp,tanass_clean,0.9072639714103227,12
liabilities,tanass_clean,0.940326101546433,12
age,eszk,0.163512143833712,12
tanass_clean,eszk,0.9682446151646994,12
eszk,eszk,1,12
sales_clean,eszk,0.9820980017080814,12
pretax,eszk,0.9814356973463564,12
persexp_clean,eszk,0.9923098471006364,12
